epoch,learning_rate,loss,pr_auc,roc_auc,val_loss,val_pr_auc,val_roc_auc
0,0.0010000000474974513,0.40573644638061523,0.19207194447517395,0.8869732618331909,0.3661089837551117,0.23392923176288605,0.9384086728096008
1,0.0010000000474974513,0.33106333017349243,0.22524824738502502,0.9302257895469666,0.3541773557662964,0.2515743672847748,0.9581041932106018
2,0.0010000000474974513,0.2888665497303009,0.25131604075431824,0.9472138285636902,0.3078819215297699,0.3235233426094055,0.9669935703277588
3,0.0010000000474974513,0.26061776280403137,0.28386127948760986,0.9567649364471436,0.2493063509464264,0.5235238671302795,0.9750229716300964
4,0.0010000000474974513,0.24100595712661743,0.3330221474170685,0.9625430107116699,0.2351035326719284,0.4744965434074402,0.9780510067939758
5,0.0010000000474974513,0.21947278082370758,0.3726262152194977,0.9691792130470276,0.21846669912338257,0.5174153447151184,0.9813673496246338
6,0.0005000000237487257,0.20457448065280914,0.41205894947052,0.9731956720352173,0.17490346729755402,0.5160863399505615,0.9831115007400513
7,0.0005000000237487257,0.19439683854579926,0.43791985511779785,0.9760461449623108,0.1646108776330948,0.5850642323493958,0.9840140342712402
8,0.0005000000237487257,0.18947087228298187,0.4484906792640686,0.9771348237991333,0.1678958237171173,0.6140398383140564,0.9852176308631897
9,0.0005000000237487257,0.18536977469921112,0.46672096848487854,0.9779667854309082,0.16163180768489838,0.5966716408729553,0.985855758190155
10,0.0005000000237487257,0.18052105605602264,0.486397922039032,0.9792120456695557,0.15432879328727722,0.5726715922355652,0.9861723780632019
11,0.0002500000118743628,0.17524796724319458,0.49411529302597046,0.9805921912193298,0.1494073122739792,0.6330339908599854,0.9871580004692078
12,0.0002500000118743628,0.17068369686603546,0.5132469534873962,0.9813680052757263,0.14831337332725525,0.6231179237365723,0.9874264001846313
13,0.0002500000118743628,0.1691857874393463,0.5087786912918091,0.9815676212310791,0.14735983312129974,0.6511411070823669,0.9876708388328552
14,0.0002500000118743628,0.16606558859348297,0.5195486545562744,0.9823526740074158,0.14950776100158691,0.6565820574760437,0.9879650473594666
15,0.0002500000118743628,0.16659961640834808,0.5180039405822754,0.9823341369628906,0.14908449351787567,0.6362852454185486,0.9881545901298523
16,0.0002500000118743628,0.16567377746105194,0.5250953435897827,0.9824409484863281,0.15031558275222778,0.633373498916626,0.9881175756454468
17,0.0001250000059371814,0.158920019865036,0.539303719997406,0.984035849571228,0.1402890831232071,0.6796833872795105,0.9885836839675903
18,0.0001250000059371814,0.15716783702373505,0.5452558994293213,0.9843608736991882,0.14170125126838684,0.6747269034385681,0.9885870814323425
19,0.0001250000059371814,0.15600398182868958,0.5435758829116821,0.9844806790351868,0.1359165459871292,0.689491868019104,0.9889822602272034
20,0.0001250000059371814,0.15716126561164856,0.5436589121818542,0.9843752384185791,0.13651372492313385,0.6877105236053467,0.9890069961547852
21,0.0001250000059371814,0.1561753749847412,0.5500839352607727,0.984343945980072,0.13371682167053223,0.7045969367027283,0.9890605211257935
22,0.0001250000059371814,0.1561184674501419,0.546604335308075,0.9843750596046448,0.13817013800144196,0.6633339524269104,0.9889146089553833
23,0.0001250000059371814,0.1532275676727295,0.5583314299583435,0.9850703477859497,0.13931798934936523,0.6775239706039429,0.9893571138381958
24,6.25000029685907e-05,0.15172457695007324,0.5615893602371216,0.9854233860969543,0.1375647783279419,0.6774395108222961,0.9892265200614929
25,6.25000029685907e-05,0.15147604048252106,0.5581890940666199,0.9854938387870789,0.13919968903064728,0.6881991028785706,0.9892910122871399
26,3.125000148429535e-05,0.15188120305538177,0.5680513978004456,0.98527592420578,0.13836568593978882,0.6869515180587769,0.989325761795044
